method,tasks,n_samples,dataset,role,acc_final,zs_baseline,delta_vs_zs
ema,5,2048,mitstates,train,1.2092,24.98922272727273,-23.78
ema,5,2048,mtsd,train,1.1217,21.98695,-20.8652
ema,5,2048,objectnet,train,1.3056,33.58896818181818,-32.2834
ema,5,2048,obsc_animals,train,5.0731,59.89427727272727,-54.8212
ema,5,2048,obsc_things,train,8.1337,55.38904090909091,-47.2553
ema,5,2048,openimages,train,7.1686,45.95072272727273,-38.7821
ema,5,2048,patternnet,train,12.3421,62.589690909090905,-50.2476
ema,5,2048,places365,train,3.1809,38.46659090909091,-35.2857
ema,5,2048,quilt,train,0.5925,0.27327727272727276,0.3192
ema,5,2048,resisc45,train,9.5873,63.393249999999995,-53.806
ema,5,2048,shapes3d,train,0.868,15.518545454545455,-14.6505
ema,5,2048,snake_clef,train,0.0283,0.2276090909090909,-0.1993
ema,5,2048,sun397,train,4.0252,68.7172090909091,-64.692
ema,5,2048,synthclip106,train,4.04,42.928427272727276,-38.8884
ema,5,2048,veg200,train,2.175,34.37340909090909,-32.1984
ema,5,2048,zappos50k,train,0.0423,17.60701818181818,-17.5647
finetune,1,1024,clevr,eval,4.1407,5.151090909090909,-1.0104
finetune,1,1024,imagenet,eval,64.24,66.14672727272726,-1.9067
finetune,1,1024,imagenet_a,eval,22.8267,25.911522727272725,-3.0848
finetune,1,1024,imagenet_d,eval,39.0693,41.191131818181816,-2.1218
finetune,1,1024,imagenet_r,eval,72.66,74.9322590909091,-2.2723
finetune,1,1024,imagenet_s,eval,51.294,53.114804545454554,-1.8208
finetune,1,1024,imagenet_v2,eval,56.19,56.23545454545455,-0.0455
finetune,1,1024,mvtecad_eval,eval,17.3913,16.666672727272726,0.7246
finetune,1,1024,plantvillage,eval,29.5737,30.775695454545453,-1.202
finetune,1,1024,artbench10,train,13.8601,13.974545454545455,-0.1144
finetune,1,1024,birdsnap,train,44.5531,44.64882727272727,-0.0957
finetune,1,1024,cifar100,train,68.45,69.78999999999999,-1.34
finetune,1,1024,clrs,train,55.3898,57.975336363636366,-2.5855
finetune,1,1024,country211,train,14.1611,17.604045454545453,-3.4429
finetune,1,1024,cub200,train,61.7708,62.978972727272726,-1.2082
finetune,1,1024,df20mini,train,1.7047,3.251940909090909,-1.5472
finetune,1,1024,dollarstreet,train,5.4838,5.2002,0.2836
finetune,1,1024,domainnet_clipart,train,77.5541,78.53454545454545,-0.9804
finetune,1,1024,domainnet_infograph,train,50.8664,52.71060909090909,-1.8442
finetune,1,1024,domainnet_painting,train,71.0664,72.76218636363636,-1.6958
finetune,1,1024,domainnet_sketch,train,68.1823,69.53313181818181,-1.3508
finetune,1,1024,dtd,train,50.6915,54.54545909090909,-3.854
finetune,1,1024,fgvcaircraft,train,22.6523,25.003368181818185,-2.3511
finetune,1,1024,flowers102,train,67.0588,66.09177272727271,0.967
finetune,1,1024,fru92,train,48.3804,51.312236363636366,-2.9318
finetune,1,1024,inaturalist2021,train,5.508,5.363090909090909,0.1449
finetune,1,1024,mitstates,train,24.4628,24.98922272727273,-0.5264
finetune,1,1024,mtsd,train,18.0153,21.98695,-3.9716
finetune,1,1024,objectnet,train,31.3933,33.58896818181818,-2.1957
finetune,1,1024,obsc_animals,train,57.8339,59.89427727272727,-2.0604
finetune,1,1024,obsc_things,train,54.4767,55.38904090909091,-0.9123
finetune,1,1024,openimages,train,48.1206,45.95072272727273,2.1699
finetune,1,1024,patternnet,train,64.1579,62.589690909090905,1.5682
finetune,1,1024,places365,train,41.2861,38.46659090909091,2.8195
finetune,1,1024,quilt,train,0.2128,0.27327727272727276,-0.0605
finetune,1,1024,resisc45,train,57.0476,63.393249999999995,-6.3456
finetune,1,1024,shapes3d,train,13.1,15.518545454545455,-2.4185
finetune,1,1024,snake_clef,train,0.2408,0.2276090909090909,0.0132
finetune,1,1024,sun397,train,67.7531,68.7172090909091,-0.9641
finetune,1,1024,synthclip106,train,40.1556,42.928427272727276,-2.7728
finetune,1,1024,veg200,train,30.625,34.37340909090909,-3.7484
finetune,1,1024,zappos50k,train,15.9865,17.60701818181818,-1.6205
finetune,1,2048,clevr,eval,4.9203,5.151090909090909,-0.2308
finetune,1,2048,imagenet,eval,64.548,66.14672727272726,-1.5987
finetune,1,2048,imagenet_a,eval,21.9733,25.911522727272725,-3.9382
finetune,1,2048,imagenet_d,eval,40.2482,41.191131818181816,-0.9429
finetune,1,2048,imagenet_r,eval,73.5033,74.9322590909091,-1.429
finetune,1,2048,imagenet_s,eval,51.3824,53.114804545454554,-1.7324
finetune,1,2048,imagenet_v2,eval,56.6,56.23545454545455,0.3645
finetune,1,2048,mvtecad_eval,eval,16.2319,16.666672727272726,-0.4348
finetune,1,2048,plantvillage,eval,26.3143,30.775695454545453,-4.4614
finetune,1,2048,artbench10,train,14.323,13.974545454545455,0.3485
finetune,1,2048,birdsnap,train,45.2927,44.64882727272727,0.6439
finetune,1,2048,cifar100,train,68.87,69.78999999999999,-0.92
finetune,1,2048,clrs,train,55.8644,57.975336363636366,-2.1109
finetune,1,2048,country211,train,14.09,17.604045454545453,-3.514
finetune,1,2048,cub200,train,63.4277,62.978972727272726,0.4487
finetune,1,2048,df20mini,train,1.7872,3.251940909090909,-1.4647
finetune,1,2048,dollarstreet,train,4.9963,5.2002,-0.2039
finetune,1,2048,domainnet_clipart,train,77.6637,78.53454545454545,-0.8708
finetune,1,2048,domainnet_infograph,train,50.7894,52.71060909090909,-1.9212
finetune,1,2048,domainnet_painting,train,71.0343,72.76218636363636,-1.7279
finetune,1,2048,domainnet_sketch,train,68.3592,69.53313181818181,-1.1739
finetune,1,2048,dtd,train,51.5426,54.54545909090909,-3.0029
finetune,1,2048,fgvcaircraft,train,24.3024,25.003368181818185,-0.701
finetune,1,2048,flowers102,train,68.2353,66.09177272727271,2.1435
finetune,1,2048,fru92,train,48.1522,51.312236363636366,-3.16
finetune,1,2048,inaturalist2021,train,5.456,5.363090909090909,0.0929
finetune,1,2048,mitstates,train,24.9651,24.98922272727273,-0.0241
finetune,1,2048,mtsd,train,19.7665,21.98695,-2.2204
finetune,1,2048,objectnet,train,29.3701,33.58896818181818,-4.2189
finetune,1,2048,obsc_animals,train,57.3148,59.89427727272727,-2.5795
finetune,1,2048,obsc_things,train,53.7411,55.38904090909091,-1.6479
finetune,1,2048,openimages,train,48.4464,45.95072272727273,2.4957
finetune,1,2048,patternnet,train,59.8947,62.589690909090905,-2.695
finetune,1,2048,places365,train,41.6011,38.46659090909091,3.1345
finetune,1,2048,quilt,train,0.0876,0.27327727272727276,-0.1857
finetune,1,2048,resisc45,train,57.2222,63.393249999999995,-6.171
finetune,1,2048,shapes3d,train,16.272,15.518545454545455,0.7535
finetune,1,2048,snake_clef,train,0.2338,0.2276090909090909,0.0062
finetune,1,2048,sun397,train,68.0907,68.7172090909091,-0.6265
finetune,1,2048,synthclip106,train,39.2698,42.928427272727276,-3.6586
finetune,1,2048,veg200,train,30.175,34.37340909090909,-4.1984
finetune,1,2048,zappos50k,train,16.5997,17.60701818181818,-1.0073
finetune,2,1024,clevr,eval,4.7558,5.151090909090909,-0.3953
finetune,2,1024,imagenet,eval,65.598,66.14672727272726,-0.5487
finetune,2,1024,imagenet_a,eval,23.3867,25.911522727272725,-2.5248
finetune,2,1024,imagenet_d,eval,40.5584,41.191131818181816,-0.6327
finetune,2,1024,imagenet_r,eval,74.03,74.9322590909091,-0.9023
finetune,2,1024,imagenet_s,eval,52.2863,53.114804545454554,-0.8285
finetune,2,1024,imagenet_v2,eval,57.57,56.23545454545455,1.3345
finetune,2,1024,mvtecad_eval,eval,16.8116,16.666672727272726,0.1449
finetune,2,1024,plantvillage,eval,28.8187,30.775695454545453,-1.957
finetune,2,1024,artbench10,train,15.0467,13.974545454545455,1.0722
finetune,2,1024,birdsnap,train,46.8597,44.64882727272727,2.2109
finetune,2,1024,cifar100,train,75.52,69.78999999999999,5.73
finetune,2,1024,clrs,train,59.8644,57.975336363636366,1.8891
finetune,2,1024,country211,train,14.4313,17.604045454545453,-3.1727
finetune,2,1024,cub200,train,64.1181,62.978972727272726,1.1391
finetune,2,1024,df20mini,train,2.2821,3.251940909090909,-0.9698
finetune,2,1024,dollarstreet,train,5.6788,5.2002,0.4786
finetune,2,1024,domainnet_clipart,train,78.7661,78.53454545454545,0.2316
finetune,2,1024,domainnet_infograph,train,51.2771,52.71060909090909,-1.4335
finetune,2,1024,domainnet_painting,train,72.0915,72.76218636363636,-0.6707
finetune,2,1024,domainnet_sketch,train,68.9185,69.53313181818181,-0.6146
finetune,2,1024,dtd,train,54.5745,54.54545909090909,0.029
finetune,2,1024,fgvcaircraft,train,24.4224,25.003368181818185,-0.581
finetune,2,1024,flowers102,train,68.2353,66.09177272727271,2.1435
finetune,2,1024,fru92,train,49.8261,51.312236363636366,-1.4861
finetune,2,1024,inaturalist2021,train,5.332,5.363090909090909,-0.0311
finetune,2,1024,mitstates,train,25.4674,24.98922272727273,0.4782
finetune,2,1024,mtsd,train,20.1442,21.98695,-1.8427
finetune,2,1024,objectnet,train,32.2603,33.58896818181818,-1.3287
finetune,2,1024,obsc_animals,train,59.1081,59.89427727272727,-0.7862
finetune,2,1024,obsc_things,train,54.2455,55.38904090909091,-1.1435
finetune,2,1024,openimages,train,49.3541,45.95072272727273,3.4034
finetune,2,1024,patternnet,train,63.9737,62.589690909090905,1.384
finetune,2,1024,places365,train,41.7381,38.46659090909091,3.2715
finetune,2,1024,quilt,train,0.2253,0.27327727272727276,-0.048
finetune,2,1024,resisc45,train,62.3492,63.393249999999995,-1.044
finetune,2,1024,shapes3d,train,17.196,15.518545454545455,1.6775
finetune,2,1024,snake_clef,train,0.2408,0.2276090909090909,0.0132
finetune,2,1024,sun397,train,68.3375,68.7172090909091,-0.3797
finetune,2,1024,synthclip106,train,41.0269,42.928427272727276,-1.9015
finetune,2,1024,veg200,train,32.13,34.37340909090909,-2.2434
finetune,2,1024,zappos50k,train,17.4455,17.60701818181818,-0.1615
finetune,2,2048,clevr,eval,5.192,5.151090909090909,0.0409
finetune,2,2048,imagenet,eval,63.946,66.14672727272726,-2.2007
finetune,2,2048,imagenet_a,eval,22.4667,25.911522727272725,-3.4448
finetune,2,2048,imagenet_d,eval,37.5181,41.191131818181816,-3.673
finetune,2,2048,imagenet_r,eval,72.6433,74.9322590909091,-2.289
finetune,2,2048,imagenet_s,eval,50.168,53.114804545454554,-2.9468
finetune,2,2048,imagenet_v2,eval,55.71,56.23545454545455,-0.5255
finetune,2,2048,mvtecad_eval,eval,15.0725,16.666672727272726,-1.5942
finetune,2,2048,plantvillage,eval,25.6974,30.775695454545453,-5.0783
finetune,2,2048,artbench10,train,13.7507,13.974545454545455,-0.2238
finetune,2,2048,birdsnap,train,44.528,44.64882727272727,-0.1208
finetune,2,2048,cifar100,train,65.08,69.78999999999999,-4.71
finetune,2,2048,clrs,train,58.5085,57.975336363636366,0.5332
finetune,2,2048,country211,train,14.0,17.604045454545453,-3.604
finetune,2,2048,cub200,train,61.0459,62.978972727272726,-1.9331
finetune,2,2048,df20mini,train,1.8697,3.251940909090909,-1.3822
finetune,2,2048,dollarstreet,train,4.972,5.2002,-0.2282
finetune,2,2048,domainnet_clipart,train,76.9652,78.53454545454545,-1.5693
finetune,2,2048,domainnet_infograph,train,50.7252,52.71060909090909,-1.9854
finetune,2,2048,domainnet_painting,train,70.833,72.76218636363636,-1.9292
finetune,2,2048,domainnet_sketch,train,67.7041,69.53313181818181,-1.829
finetune,2,2048,dtd,train,50.8511,54.54545909090909,-3.6944
finetune,2,2048,fgvcaircraft,train,23.4623,25.003368181818185,-1.5411
finetune,2,2048,flowers102,train,67.2549,66.09177272727271,1.1631
finetune,2,2048,fru92,train,49.0326,51.312236363636366,-2.2796
finetune,2,2048,inaturalist2021,train,5.388,5.363090909090909,0.0249
finetune,2,2048,mitstates,train,24.8628,24.98922272727273,-0.1264
finetune,2,2048,mtsd,train,18.2557,21.98695,-3.7312
finetune,2,2048,objectnet,train,28.1941,33.58896818181818,-5.3949
finetune,2,2048,obsc_animals,train,58.6361,59.89427727272727,-1.2582
finetune,2,2048,obsc_things,train,53.0685,55.38904090909091,-2.3205
finetune,2,2048,openimages,train,48.9817,45.95072272727273,3.031
finetune,2,2048,patternnet,train,67.6579,62.589690909090905,5.0682
finetune,2,2048,places365,train,41.4888,38.46659090909091,3.0222
finetune,2,2048,quilt,train,0.1669,0.27327727272727276,-0.1064
finetune,2,2048,resisc45,train,58.0635,63.393249999999995,-5.3297
finetune,2,2048,shapes3d,train,19.884,15.518545454545455,4.3655
finetune,2,2048,snake_clef,train,0.2408,0.2276090909090909,0.0132
finetune,2,2048,sun397,train,67.6474,68.7172090909091,-1.0698
finetune,2,2048,synthclip106,train,39.8891,42.928427272727276,-3.0393
finetune,2,2048,veg200,train,30.755,34.37340909090909,-3.6184
finetune,2,2048,zappos50k,train,16.1239,17.60701818181818,-1.4831
finetune,3,1024,clevr,eval,4.7057,5.151090909090909,-0.4454
finetune,3,1024,imagenet,eval,65.626,66.14672727272726,-0.5207
finetune,3,1024,imagenet_a,eval,23.2933,25.911522727272725,-2.6182
finetune,3,1024,imagenet_d,eval,40.8893,41.191131818181816,-0.3018
finetune,3,1024,imagenet_r,eval,74.0067,74.9322590909091,-0.9256
finetune,3,1024,imagenet_s,eval,52.3001,53.114804545454554,-0.8147
finetune,3,1024,imagenet_v2,eval,57.59,56.23545454545455,1.3545
finetune,3,1024,mvtecad_eval,eval,16.5217,16.666672727272726,-0.145
finetune,3,1024,plantvillage,eval,29.0397,30.775695454545453,-1.736
finetune,3,1024,artbench10,train,15.0299,13.974545454545455,1.0554
finetune,3,1024,birdsnap,train,46.8723,44.64882727272727,2.2235
finetune,3,1024,cifar100,train,75.54,69.78999999999999,5.75
finetune,3,1024,clrs,train,59.8644,57.975336363636366,1.8891
finetune,3,1024,country211,train,14.4408,17.604045454545453,-3.1632
finetune,3,1024,cub200,train,63.98,62.978972727272726,1.001
finetune,3,1024,df20mini,train,2.3371,3.251940909090909,-0.9148
finetune,3,1024,dollarstreet,train,5.7031,5.2002,0.5029
finetune,3,1024,domainnet_clipart,train,78.725,78.53454545454545,0.1905
finetune,3,1024,domainnet_infograph,train,51.2514,52.71060909090909,-1.4592
finetune,3,1024,domainnet_painting,train,72.0549,72.76218636363636,-0.7073
finetune,3,1024,domainnet_sketch,train,68.8898,69.53313181818181,-0.6433
finetune,3,1024,dtd,train,54.4149,54.54545909090909,-0.1306
finetune,3,1024,fgvcaircraft,train,24.4524,25.003368181818185,-0.551
finetune,3,1024,flowers102,train,68.4314,66.09177272727271,2.3396
finetune,3,1024,fru92,train,49.8804,51.312236363636366,-1.4318
finetune,3,1024,inaturalist2021,train,5.348,5.363090909090909,-0.0151
finetune,3,1024,mitstates,train,25.4953,24.98922272727273,0.5061
finetune,3,1024,mtsd,train,20.19,21.98695,-1.7969
finetune,3,1024,objectnet,train,32.2603,33.58896818181818,-1.3287
finetune,3,1024,obsc_animals,train,59.0609,59.89427727272727,-0.8334
finetune,3,1024,obsc_things,train,54.2245,55.38904090909091,-1.1645
finetune,3,1024,openimages,train,49.3774,45.95072272727273,3.4267
finetune,3,1024,patternnet,train,63.8158,62.589690909090905,1.2261
finetune,3,1024,places365,train,41.782,38.46659090909091,3.3154
finetune,3,1024,quilt,train,0.2295,0.27327727272727276,-0.0438
finetune,3,1024,resisc45,train,62.3968,63.393249999999995,-0.9964
finetune,3,1024,shapes3d,train,16.944,15.518545454545455,1.4255
finetune,3,1024,snake_clef,train,0.2479,0.2276090909090909,0.0203
finetune,3,1024,sun397,train,68.3023,68.7172090909091,-0.4149
finetune,3,1024,synthclip106,train,41.0989,42.928427272727276,-1.8295
finetune,3,1024,veg200,train,32.09,34.37340909090909,-2.2834
finetune,3,1024,zappos50k,train,17.4455,17.60701818181818,-0.1615
finetune,3,2048,clevr,eval,4.4769,5.151090909090909,-0.6742
finetune,3,2048,imagenet,eval,62.944,66.14672727272726,-3.2027
finetune,3,2048,imagenet_a,eval,20.4533,25.911522727272725,-5.4582
finetune,3,2048,imagenet_d,eval,36.5874,41.191131818181816,-4.6037
finetune,3,2048,imagenet_r,eval,72.0467,74.9322590909091,-2.8856
finetune,3,2048,imagenet_s,eval,49.5864,53.114804545454554,-3.5284
finetune,3,2048,imagenet_v2,eval,54.63,56.23545454545455,-1.6055
finetune,3,2048,mvtecad_eval,eval,14.7826,16.666672727272726,-1.8841
finetune,3,2048,plantvillage,eval,28.165,30.775695454545453,-2.6107
finetune,3,2048,artbench10,train,12.9092,13.974545454545455,-1.0653
finetune,3,2048,birdsnap,train,42.9109,44.64882727272727,-1.7379
finetune,3,2048,cifar100,train,64.84,69.78999999999999,-4.95
finetune,3,2048,clrs,train,59.0508,57.975336363636366,1.0755
finetune,3,2048,country211,train,13.4692,17.604045454545453,-4.1348
finetune,3,2048,cub200,train,61.0459,62.978972727272726,-1.9331
finetune,3,2048,df20mini,train,1.7872,3.251940909090909,-1.4647
finetune,3,2048,dollarstreet,train,5.167,5.2002,-0.0332
finetune,3,2048,domainnet_clipart,train,76.9995,78.53454545454545,-1.535
finetune,3,2048,domainnet_infograph,train,50.8535,52.71060909090909,-1.8571
finetune,3,2048,domainnet_painting,train,70.7323,72.76218636363636,-2.0299
finetune,3,2048,domainnet_sketch,train,67.5798,69.53313181818181,-1.9533
finetune,3,2048,dtd,train,49.9468,54.54545909090909,-4.5987
finetune,3,2048,fgvcaircraft,train,22.1722,25.003368181818185,-2.8312
finetune,3,2048,flowers102,train,66.5686,66.09177272727271,0.4768
finetune,3,2048,fru92,train,46.6196,51.312236363636366,-4.6926
finetune,3,2048,inaturalist2021,train,5.032,5.363090909090909,-0.3311
finetune,3,2048,mitstates,train,24.7698,24.98922272727273,-0.2194
finetune,3,2048,mtsd,train,17.2599,21.98695,-4.7271
finetune,3,2048,objectnet,train,27.3969,33.58896818181818,-6.1921
finetune,3,2048,obsc_animals,train,57.6923,59.89427727272727,-2.202
finetune,3,2048,obsc_things,train,51.8285,55.38904090909091,-3.5605
finetune,3,2048,openimages,train,47.6318,45.95072272727273,1.6811
finetune,3,2048,patternnet,train,61.2368,62.589690909090905,-1.3529
finetune,3,2048,places365,train,41.3874,38.46659090909091,2.9208
finetune,3,2048,quilt,train,0.1293,0.27327727272727276,-0.144
finetune,3,2048,resisc45,train,59.9524,63.393249999999995,-3.4408
finetune,3,2048,shapes3d,train,19.324,15.518545454545455,3.8055
finetune,3,2048,snake_clef,train,0.2763,0.2276090909090909,0.0487
finetune,3,2048,sun397,train,66.8866,68.7172090909091,-1.8306
finetune,3,2048,synthclip106,train,40.4652,42.928427272727276,-2.4632
finetune,3,2048,veg200,train,29.655,34.37340909090909,-4.7184
finetune,3,2048,zappos50k,train,15.5635,17.60701818181818,-2.0435
finetune,4,1024,clevr,eval,4.7272,5.151090909090909,-0.4239
finetune,4,1024,imagenet,eval,65.664,66.14672727272726,-0.4827
finetune,4,1024,imagenet_a,eval,23.4933,25.911522727272725,-2.4182
finetune,4,1024,imagenet_d,eval,41.0134,41.191131818181816,-0.1777
finetune,4,1024,imagenet_r,eval,74.05,74.9322590909091,-0.8823
finetune,4,1024,imagenet_s,eval,52.2824,53.114804545454554,-0.8324
finetune,4,1024,imagenet_v2,eval,57.67,56.23545454545455,1.4345
finetune,4,1024,mvtecad_eval,eval,16.8116,16.666672727272726,0.1449
finetune,4,1024,plantvillage,eval,28.9844,30.775695454545453,-1.7913
finetune,4,1024,artbench10,train,15.1309,13.974545454545455,1.1564
finetune,4,1024,birdsnap,train,46.9976,44.64882727272727,2.3488
finetune,4,1024,cifar100,train,75.71,69.78999999999999,5.92
finetune,4,1024,clrs,train,59.322,57.975336363636366,1.3467
finetune,4,1024,country211,train,14.4597,17.604045454545453,-3.1443
finetune,4,1024,cub200,train,64.3424,62.978972727272726,1.3634
finetune,4,1024,df20mini,train,2.3371,3.251940909090909,-0.9148
finetune,4,1024,dollarstreet,train,5.4594,5.2002,0.2592
finetune,4,1024,domainnet_clipart,train,78.6428,78.53454545454545,0.1083
finetune,4,1024,domainnet_infograph,train,51.2579,52.71060909090909,-1.4527
finetune,4,1024,domainnet_painting,train,72.0824,72.76218636363636,-0.6798
finetune,4,1024,domainnet_sketch,train,68.8803,69.53313181818181,-0.6528
finetune,4,1024,dtd,train,54.1489,54.54545909090909,-0.3966
finetune,4,1024,fgvcaircraft,train,24.4524,25.003368181818185,-0.551
finetune,4,1024,flowers102,train,68.4314,66.09177272727271,2.3396
finetune,4,1024,fru92,train,49.6739,51.312236363636366,-1.6383
finetune,4,1024,inaturalist2021,train,5.328,5.363090909090909,-0.0351
finetune,4,1024,mitstates,train,25.672,24.98922272727273,0.6828
finetune,4,1024,mtsd,train,19.9382,21.98695,-2.0488
finetune,4,1024,objectnet,train,32.1208,33.58896818181818,-1.4682
finetune,4,1024,obsc_animals,train,59.2968,59.89427727272727,-0.5975
finetune,4,1024,obsc_things,train,54.3085,55.38904090909091,-1.0805
finetune,4,1024,openimages,train,49.5054,45.95072272727273,3.5547
finetune,4,1024,patternnet,train,63.4474,62.589690909090905,0.8577
finetune,4,1024,places365,train,41.7847,38.46659090909091,3.3181
finetune,4,1024,quilt,train,0.2587,0.27327727272727276,-0.0146
finetune,4,1024,resisc45,train,62.0952,63.393249999999995,-1.298
finetune,4,1024,shapes3d,train,18.22,15.518545454545455,2.7015
finetune,4,1024,snake_clef,train,0.2408,0.2276090909090909,0.0132
finetune,4,1024,sun397,train,68.267,68.7172090909091,-0.4502
finetune,4,1024,synthclip106,train,40.9981,42.928427272727276,-1.9303
finetune,4,1024,veg200,train,32.07,34.37340909090909,-2.3034
finetune,4,1024,zappos50k,train,17.5196,17.60701818181818,-0.0874
finetune,4,2048,clevr,eval,4.0692,5.151090909090909,-1.0819
finetune,4,2048,imagenet,eval,63.126,66.14672727272726,-3.0207
finetune,4,2048,imagenet_a,eval,22.4667,25.911522727272725,-3.4448
finetune,4,2048,imagenet_d,eval,37.1251,41.191131818181816,-4.066
finetune,4,2048,imagenet_r,eval,73.12,74.9322590909091,-1.8123
finetune,4,2048,imagenet_s,eval,50.5689,53.114804545454554,-2.5459
finetune,4,2048,imagenet_v2,eval,54.83,56.23545454545455,-1.4055
finetune,4,2048,mvtecad_eval,eval,15.3623,16.666672727272726,-1.3044
finetune,4,2048,plantvillage,eval,28.2294,30.775695454545453,-2.5463
finetune,4,2048,artbench10,train,12.926,13.974545454545455,-1.0485
finetune,4,2048,birdsnap,train,43.0864,44.64882727272727,-1.5624
finetune,4,2048,cifar100,train,59.66,69.78999999999999,-10.13
finetune,4,2048,clrs,train,53.1525,57.975336363636366,-4.8228
finetune,4,2048,country211,train,14.0569,17.604045454545453,-3.5471
finetune,4,2048,cub200,train,59.8378,62.978972727272726,-3.1412
finetune,4,2048,df20mini,train,1.8422,3.251940909090909,-1.4097
finetune,4,2048,dollarstreet,train,5.4594,5.2002,0.2592
finetune,4,2048,domainnet_clipart,train,76.301,78.53454545454545,-2.2335
finetune,4,2048,domainnet_infograph,train,50.5776,52.71060909090909,-2.133
finetune,4,2048,domainnet_painting,train,70.2517,72.76218636363636,-2.5105
finetune,4,2048,domainnet_sketch,train,67.3456,69.53313181818181,-2.1875
finetune,4,2048,dtd,train,50.266,54.54545909090909,-4.2795
finetune,4,2048,fgvcaircraft,train,22.3822,25.003368181818185,-2.6212
finetune,4,2048,flowers102,train,66.3725,66.09177272727271,0.2807
finetune,4,2048,fru92,train,47.3043,51.312236363636366,-4.0079
finetune,4,2048,inaturalist2021,train,5.312,5.363090909090909,-0.0511
finetune,4,2048,mitstates,train,24.8256,24.98922272727273,-0.1636
finetune,4,2048,mtsd,train,16.4702,21.98695,-5.5168
finetune,4,2048,objectnet,train,28.6028,33.58896818181818,-4.9862
finetune,4,2048,obsc_animals,train,57.3384,59.89427727272727,-2.5559
finetune,4,2048,obsc_things,train,52.5641,55.38904090909091,-2.8249
finetune,4,2048,openimages,train,47.9227,45.95072272727273,1.972
finetune,4,2048,patternnet,train,64.0789,62.589690909090905,1.4892
finetune,4,2048,places365,train,41.9217,38.46659090909091,3.4551
finetune,4,2048,quilt,train,0.2211,0.27327727272727276,-0.0522
finetune,4,2048,resisc45,train,55.0635,63.393249999999995,-8.3297
finetune,4,2048,shapes3d,train,19.608,15.518545454545455,4.0895
finetune,4,2048,snake_clef,train,0.3046,0.2276090909090909,0.077
finetune,4,2048,sun397,train,66.9068,68.7172090909091,-1.8104
finetune,4,2048,synthclip106,train,38.8953,42.928427272727276,-4.0331
finetune,4,2048,veg200,train,30.685,34.37340909090909,-3.6884
finetune,4,2048,zappos50k,train,16.0182,17.60701818181818,-1.5888
finetune,5,1024,clevr,eval,4.7415,5.151090909090909,-0.4096
finetune,5,1024,imagenet,eval,65.57,66.14672727272726,-0.5767
finetune,5,1024,imagenet_a,eval,23.3467,25.911522727272725,-2.5648
finetune,5,1024,imagenet_d,eval,40.6825,41.191131818181816,-0.5086
finetune,5,1024,imagenet_r,eval,74.05,74.9322590909091,-0.8823
finetune,5,1024,imagenet_s,eval,52.3473,53.114804545454554,-0.7675
finetune,5,1024,imagenet_v2,eval,57.5,56.23545454545455,1.2645
finetune,5,1024,mvtecad_eval,eval,16.2319,16.666672727272726,-0.4348
finetune,5,1024,plantvillage,eval,28.6622,30.775695454545453,-2.1135
finetune,5,1024,artbench10,train,14.9962,13.974545454545455,1.0217
finetune,5,1024,birdsnap,train,47.0102,44.64882727272727,2.3614
finetune,5,1024,cifar100,train,75.71,69.78999999999999,5.92
finetune,5,1024,clrs,train,59.5254,57.975336363636366,1.5501
finetune,5,1024,country211,train,14.6066,17.604045454545453,-2.9974
finetune,5,1024,cub200,train,63.9972,62.978972727272726,1.0182
finetune,5,1024,df20mini,train,2.3371,3.251940909090909,-0.9148
finetune,5,1024,dollarstreet,train,5.6544,5.2002,0.4542
finetune,5,1024,domainnet_clipart,train,78.7798,78.53454545454545,0.2453
finetune,5,1024,domainnet_infograph,train,51.1231,52.71060909090909,-1.5875
finetune,5,1024,domainnet_painting,train,72.0458,72.76218636363636,-0.7164
finetune,5,1024,domainnet_sketch,train,68.8946,69.53313181818181,-0.6385
finetune,5,1024,dtd,train,54.2021,54.54545909090909,-0.3434
finetune,5,1024,fgvcaircraft,train,24.5125,25.003368181818185,-0.4909
finetune,5,1024,flowers102,train,68.5294,66.09177272727271,2.4376
finetune,5,1024,fru92,train,50.0652,51.312236363636366,-1.247
finetune,5,1024,inaturalist2021,train,5.34,5.363090909090909,-0.0231
finetune,5,1024,mitstates,train,25.5697,24.98922272727273,0.5805
finetune,5,1024,mtsd,train,20.0412,21.98695,-1.9458
finetune,5,1024,objectnet,train,32.2902,33.58896818181818,-1.2988
finetune,5,1024,obsc_animals,train,59.1789,59.89427727272727,-0.7154
finetune,5,1024,obsc_things,train,54.1824,55.38904090909091,-1.2066
finetune,5,1024,openimages,train,49.3541,45.95072272727273,3.4034
finetune,5,1024,patternnet,train,63.6053,62.589690909090905,1.0156
finetune,5,1024,places365,train,41.7628,38.46659090909091,3.2962
finetune,5,1024,quilt,train,0.2128,0.27327727272727276,-0.0605
finetune,5,1024,resisc45,train,62.1746,63.393249999999995,-1.2186
finetune,5,1024,shapes3d,train,17.192,15.518545454545455,1.6735
finetune,5,1024,snake_clef,train,0.2196,0.2276090909090909,-0.008
finetune,5,1024,sun397,train,68.3073,68.7172090909091,-0.4099
finetune,5,1024,synthclip106,train,40.9837,42.928427272727276,-1.9447
finetune,5,1024,veg200,train,32.105,34.37340909090909,-2.2684
finetune,5,1024,zappos50k,train,17.3504,17.60701818181818,-0.2566
finetune,5,2048,clevr,eval,5.3064,5.151090909090909,0.1553
